temperature,vibration,pressure,runtime_hours,machine_age,load_percentage,risk
86.56,0.71,2.93,3425.84,11.18,74.14,Medium
50.65,4.09,1.21,3357.71,7.83,22.12,Low
91.54,6.46,3.94,6793.21,4.53,89.54,Medium
90.38,3.39,2.09,14362.47,5.38,27.42,Medium
68.33,3.42,2.85,747.41,7.16,29.99,Low
50.12,2.99,5.4,13293.23,5.74,35.38,Low
47.98,2.44,3.03,1288.9,3.88,28.08,Low
74.47,7.59,2.14,5393.53,10.22,76.15,Medium
84.59,1.95,6.1,2534.7,6.0,99.16,Medium
59.27,3.26,6.38,933.48,12.42,84.4,Medium
62.4,2.29,7.6,13157.88,5.06,72.44,Medium
102.5,5.96,2.0,2180.49,11.3,63.12,High
72.85,5.46,3.53,14960.15,2.51,59.48,Low
100.97,1.8,2.12,10239.17,9.15,50.78,Medium
109.75,5.0,7.8,12925.62,0.67,77.66,High
93.81,7.03,3.38,4473.15,2.79,20.26,Medium
108.17,6.98,4.55,1685.52,9.57,87.33,High
84.58,1.8,6.34,8136.75,11.79,62.43,Medium
83.93,4.65,1.78,5508.41,14.79,84.54,High
48.77,7.96,7.63,1376.24,7.55,25.54,Medium
94.78,1.59,4.33,8292.07,4.34,89.79,Medium
107.68,8.4,6.29,10379.03,10.84,51.92,High
73.48,4.9,1.85,3447.99,5.4,67.06,Low
83.25,0.56,5.95,977.22,1.48,22.51,Low
49.61,2.52,5.68,3292.13,2.42,94.84,Medium
82.45,2.57,4.31,6165.19,1.87,72.72,Low
72.53,4.47,6.1,10133.13,14.77,27.87,Medium
92.33,7.31,1.76,2954.69,8.28,31.21,High
63.11,2.62,7.46,6702.65,12.99,64.03,Low
87.39,5.09,1.1,1489.62,11.43,38.91,Medium
76.57,2.32,3.81,973.67,6.0,98.82,Low
105.22,7.17,3.0,10479.21,11.09,82.67,High
55.06,3.02,7.78,8729.79,8.36,79.84,Medium
48.26,4.55,7.44,8013.78,1.32,60.63,Medium
49.45,1.08,7.03,6116.26,14.15,65.57,Medium
83.64,5.76,3.93,8796.72,8.08,94.78,Medium
88.53,3.17,2.86,2050.09,9.86,56.58,Low
45.61,5.78,4.94,1589.72,8.3,60.47,Low
105.66,7.99,7.15,5605.95,2.79,86.7,High
84.76,8.89,5.58,216.56,12.35,43.95,Medium
106.03,1.64,1.81,1694.84,8.52,41.79,Medium
58.69,3.41,5.81,12808.4,7.83,40.09,Low
51.0,4.1,2.94,152.83,11.68,70.97,Low
55.5,4.26,5.94,8457.51,2.12,95.6,Medium
80.46,7.59,5.08,2306.6,2.35,44.66,Low
103.43,2.29,2.75,1631.62,11.81,90.73,Medium
108.3,6.87,7.48,3627.39,2.86,83.99,High
102.29,0.71,6.16,5049.56,14.0,84.18,Medium
62.34,7.19,1.76,13095.29,12.95,37.79,High
67.73,7.47,7.1,3421.56,10.07,51.88,Medium
101.18,8.72,2.95,9658.08,6.3,98.49,High
66.52,0.73,7.14,3992.11,8.92,98.68,Medium
52.05,4.19,6.1,4773.79,9.29,60.91,Low
103.47,2.12,1.31,6597.26,8.04,84.52,Medium
68.67,1.09,5.65,5019.98,5.05,87.84,Low
77.96,6.17,3.28,10488.41,8.54,35.35,Low
89.03,8.17,5.31,4584.15,8.45,20.03,Medium
58.66,7.18,5.25,4901.51,6.91,74.05,Medium
75.76,8.16,6.57,2628.4,1.73,61.24,Medium
66.79,7.46,6.26,10124.66,3.76,35.93,Low
48.0,8.86,5.28,11550.49,7.1,90.89,High
57.64,6.42,4.46,3735.37,10.01,20.44,Low
95.6,2.36,6.63,10469.09,7.24,64.59,Medium
74.67,7.31,5.67,14819.6,9.13,96.0,High
84.82,6.61,4.53,12475.48,8.44,91.78,High
74.25,6.89,6.88,4231.94,11.78,58.77,Medium
62.85,1.16,3.0,4148.56,5.14,63.21,Low
54.8,3.76,2.07,3287.9,6.52,46.47,Low
72.03,2.26,3.94,13582.09,8.97,75.64,Medium
69.72,0.55,3.46,11326.78,12.87,96.27,Medium
